"Code","Name"
"STAFFLT","Staff Laptop"
"CENTRAL","Central Office"
"KIOSK","Kiosk Testing"
"H0582","Wake NCSU Stem HS"
"H0583","Wake Early College HS"
"H0585","Wake Young Men's Leadership Academy HS"
"H0586","Wake Young Women's Leadership Academy HS"
"H0587","Wake Early College Information And Biotechnology HS"
"E0302","River Bend ES"
"E0303","Abbots Creek ES"
"E0304","Adams ES"
"E0306","Herbert Akins ES"
"E0307","Alston Ridge ES"
"E0308","Apex ES"
"E0314","Apex Friendship ES"
"E0320","Aversboro ES"
"E0325","Banks Road ES"
"E0326","Baileywick ES"
"E0327","Ballentine ES"
"E0328","Baucom ES"
"E0329","Barwell Road ES"
"E0330","Barton Pond ES"
"E0332","Beaverdam ES"
"E0333","Bowling Road ES"
"E0334","Brassfield ES"
"E0336","Brentwood ES"
"E0340","Briarcliff ES"
"E0342","Brier Creek ES"
"E0344","Brooks ES"
"E0349","Bryan Road ES"
"E0351","Buckhorn Creek ES"
"E0352","Bugg ES"
"E0358","Carpenter ES"
"E0362","Carver ES"
"E0364","Cary ES"
"E0369","Cedar Fork ES"
"E0376","Combs ES"
"E0380","Conn ES"
"E0384","Creech Road ES"
"E0390","Davis Drive ES"
"E0393","Dillard ES"
"E0396","Douglas ES"
"E0398","Durant Road ES"
"E0403","East Garner ES"
"E0413","Forestville Road ES"
"E0414","Farmington Woods ES"
"E0415","Fox Road ES"
"E0416","Fuller ES"
"E0417","Forest Pines Drive ES"
"E0420","Fuquay-Varina ES"
"E0439","Green Hope ES"
"E0440","Green ES"
"E0443","Highcroft Drive ES"
"E0446","Hodge Road ES"
"E0447","Holly Springs ES"
"E0448","Hunter ES"
"E0449","Holly Ridge ES"
"E0451","Harris Creek ES"
"E0452","Jeffreys Grove ES"
"E0453","Jones Dairy ES"
"E0454","Heritage ES"
"E0456","Joyner ES"
"E0457","Holly Grove ES"
"E0459","Hortons Creek ES"
"E0460","Kingswood ES"
"E0464","Knightdale ES"
"E0467","Laurel Park ES"
"E0468","Lacy ES"
"E0469","Leesville Road ES"
"E0470","Lead Mine ES"
"E0474","Lake Myra ES"
"E0476","Lincoln Heights ES"
"E0480","Lockhart ES"
"E0488","Lynn Road ES"
"E0494","Middle Creek ES"
"E0496","Millbrook ES"
"E0501","Mills Park ES"
"E0504","Morrisville ES"
"E0514","N Forest Pines Drive ES"
"E0516","North Ridge ES"
"E0520","Northwoods ES"
"E0521","Oakview ES"
"E0522","Oak Grove ES"
"E0523","Olive Chapel ES"
"E0524","Olds ES"
"E0525","Partnership Primary ES"
"E0527","Parkside ES"
"E0530","Penny Road ES"
"E0531","Pleasant Union ES"
"E0532","Poe ES"
"E0533","Pleasant Grove ES"
"E0536","Powell ES"
"E0537","Pleasant Plains ES"
"E0540","Rand Road ES"
"E0541","Rex Road ES"
"E0542","Reedy Creek ES"
"E0543","Richland Creek ES"
"E0544","Rolesville ES"
"E0547","Rogers Lane ES"
"E0548","Root ES"
"E0550","Salem ES"
"E0554","Sanford Creek ES"
"E0557","Scotts Ridge ES"
"E0559","South Lakes ES"
"E0560","Smith ES"
"E0563","Southeast Raleigh ES"
"E0564","Stough ES"
"E0568","Swift Creek ES"
"E0569","Sycamore Creek ES"
"E0570","Timber Drive ES"
"E0571","Turner Creek ES"
"E0572","Underwood ES"
"E0576","Vance ES"
"E0580","Vandora Springs ES"
"E0584","Wake Forest ES"
"E0593","Wakefield ES"
"E0596","Washington ES"
"E0597","Wakelon ES"
"E0598","Weatherstone ES"
"E0599","Walnut Creek ES"
"E0600","Wendell ES"
"E0606","West Lake ES"
"E0614","White Oak ES"
"E0616","Wilburn ES"
"E0618","Wildwood Forest ES"
"E0620","Wiley ES"
"E0623","Woods Creek ES"
"E0624","Willow Springs ES"
"E0626","Yates Mill Pond ES"
"E0628","York ES"
"E0632","Zebulon ES"
"M0309","Alston Ridge MS"
"M0312","Apex MS"
"M0315","Apex Friendship MS"
"M0356","Carnage MS"
"M0360","Carroll MS"
"M0370","Centennial MS"
"M0381","Connections Middle Academy MS"
"M0388","Oberlin MS"
"M0391","Davis Drive MS"
"M0394","Dillard Drive MS"
"M0399","Durant Road MS"
"M0400","Reedy Creek MS"
"M0402","East Cary MS"
"M0404","East Garner MS"
"M0408","East Millbrook MS"
"M0410","Neuse River MS"
"M0424","Fuquay-Varina MS"
"M0435","Herbert Akins Road MS"
"M0438","River Oaks Middle MS"
"M0442","Hilburn Drive Academy MS"
"M0444","Heritage MS"
"M0450","Holly Ridge MS"
"M0458","Holly Grove MS"
"M0471","Leesville Road MS"
"M0472","Ligon MS"
"M0484","Lufkin Road MS"
"M0492","Martin MS"
"M0502","Mills Park MS"
"M0506","Moore Sq Museums MS"
"M0508","Mt Vernon School MS"
"M0512","North Garner MS"
"M0529","Pine Hollow MS"
"M0545","Rolesville MS"
"M0549","River Bend MS"
"M0551","Salem MS"
"M0592","Wake Forest MS"
"M0594","Wakefield MS"
"M0601","Wendell MS"
"M0604","West Cary MS"
"M0607","West Lake MS"
"M0608","West Millbrook MS"
"M0636","Zebulon MS"
"H0316","Apex HS"
"H0317","Apex Friendship HS"
"H0318","Athens Drive HS"
"H0324","Longview HS"
"H0348","Broughton HS"
"H0368","Cary HS"
"H0386","Crossroads Flex HS"
"H0411","East Wake HS"
"H0412","Enloe HS"
"H0418","Felton Grove HS"
"H0428","Fuquay-Varina HS"
"H0436","Garner HS"
"H0437","Green Level HS"
"H0441","Green Hope HS"
"H0445","Heritage HS"
"H0455","Holly Springs HS"
"H0466","Knightdale HS"
"H0473","Leesville Road HS"
"H0495","Middle Creek HS"
"H0500","Millbrook HS"
"H0518","North Wake College And Career Academy HS"
"H0526","Panther Creek HS"
"H0528","Mary E Phillips High HS"
"H0546","Rolesville HS"
"H0552","Sanderson HS"
"H0556","Score Academy HS"
"H0561","South Garner HS"
"H0562","SE Raleigh HS"
"H0581","Vernon Malone CC Academy HS"
"H0588","Wake Forest HS"
"H0595","Wakefield HS"
"H0625","Willow Spring HS"

